average,diff,diff2
9.26,0.02,0.01
9.29,0.03,0.01
9.32,0.03,1.77636E-15
9.35,0.03,-1.77636E-15
9.39,0.04,0.01
9.42,0.03,-0.01
9.45,0.03,0
9.48,0.03,1.77636E-15
9.51,0.03,-1.77636E-15
9.53,0.02,-0.01
9.55,0.02,1.77636E-15
9.58,0.03,0.01
9.6,0.02,-0.01
9.63,0.03,0.01
9.66,0.03,-1.77636E-15
9.7,0.04,0.01
9.75,0.05,0.01
9.78,0.03,-0.02
9.8,0.02,-0.01
9.82,0.02,-1.77636E-15
9.85,0.03,0.01
9.88,0.03,1.77636E-15
9.9,0.02,-0.01
9.92,0.02,0
9.96,0.04,0.02
9.98,0.02,-0.02
10,0.02,0
10.03,0.03,0.01
10.07,0.04,0.01
10.09,0.02,-0.02
10.12,0.03,0.01
10.15,0.03,1.77636E-15
10.18,0.03,-1.77636E-15
10.2,0.02,-0.01
10.23,0.03,0.01
10.26,0.03,-1.77636E-15
10.28,0.02,-0.01
10.3,0.02,1.77636E-15
10.33,0.03,0.01
10.36,0.03,0
10.39,0.03,1.77636E-15
10.43,0.04,0.01
10.46,0.03,-0.01
10.49,0.03,-1.77636E-15
10.52,0.03,0
10.56,0.04,0.01
10.6,0.04,-1.77636E-15
10.63,0.03,-0.01
10.64,0.01,-0.02
10.67,0.03,0.02
10.7,0.03,0
10.74,0.04,0.01
10.79,0.05,0.01
10.83,0.04,-0.01
10.85,0.02,-0.02
10.89,0.04,0.02
10.92,0.03,-0.01
10.96,0.04,0.01
10.99,0.03,-0.01
11.01,0.02,-0.01
11.04,0.03,0.01
11.05,0.01,-0.02
11.08,0.03,0.02
